name,symbol,quotedate,currentPrice,changeValue,changePercent,previousClose,open,volume,dayMinPrice,dayMaxPrice,priceToEarnings,marketCap,averageVolume,yearMinPrice,yearMaxPrice,dividendValue,earningsPerShare,dividendYield,currentPriceRank,changeValueRank,changePercentRank,volumeRank,priceToEarningsRank,marketCapRank,averageVolumeRank,yearMinPriceRank,yearMaxPriceRank,dividendValueRank,earningsPerShareRank,dividendYieldRank,currentPriceValue,changeValueValue,changePercentValue,volumeValue,priceToEarningsValue,marketCapValue,averageVolumeValue,yearMinPriceValue,yearMaxPriceValue,dividendValueValue,earningsPerShareValue,dividendYieldValue
INFOSPACE INC,INSP,2003-11-19 12:00:00.0,24.7900,0.1300,0.5300,24.6600,24.7000,153105.6700,24.6500,25.8800,3.0000,778040510.0000,575854.5000,8.3100,27.7500,0.0000,2.8400,0.0000,5.0000,4.0000,5.0000,4.0000,8.0000,5.0000,3.0000,7.0000,5.0000,8.0000,1.0000,8.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,7.0000,10.0000,6.0000,10.0000
ERIE INDTY CO,ERIE,2003-11-19 12:00:00.0,40.1900,0.0300,0.0700,40.1600,40.1100,2250.0000,40.0900,40.2400,14.9500,2578592510.0000,37845.0000,33.5000,43.3400,0.7600,2.6900,1.8900,2.0000,6.0000,6.0000,10.0000,6.0000,3.0000,9.0000,1.0000,2.0000,2.0000,2.0000,3.0000,4.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,3.0000,4.0000,7.0000,6.0000,8.0000
PETROCORP INC,PEX,2003-11-19 12:00:00.0,13.5700,0.1500,1.1200,13.4200,13.4000,1900.0000,13.4000,13.5700,15.5100,172897936.0000,9500.0000,8.8000,14.5000,0.0000,0.8800,0.0000,8.0000,4.0000,3.0000,10.0000,6.0000,9.0000,10.0000,7.0000,8.0000,8.0000,5.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
SPARTAN MTRS INC,SPAR,2003-11-19 12:00:00.0,9.1500,-0.1100,-1.2000,9.2600,9.2600,800.0000,9.1500,9.2800,20.5300,110928480.0000,24181.5000,7.7600,12.0500,0.1500,0.4500,1.0900,9.0000,8.0000,9.0000,10.0000,4.0000,10.0000,9.0000,7.0000,9.0000,5.0000,7.0000,4.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
COLDWATER CREEK INC,CWTR,2003-11-19 12:00:00.0,13.3300,0.3700,2.8500,12.9600,12.8800,10479.0000,12.8800,13.5500,40.3100,321519872.0000,78172.5000,5.7000,14.1700,0.0000,0.3600,0.0000,8.0000,2.0000,1.0000,9.0000,2.0000,8.0000,8.0000,8.0000,8.0000,8.0000,7.0000,8.0000,10.0000,10.0000,8.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
FORRESTER RESH INC,FORR,2003-11-19 12:00:00.0,17.1900,-0.2100,-1.2100,17.4000,17.2500,34923.0000,17.0500,17.7500,71.6100,385981440.0000,90845.0000,11.6100,18.7100,0.0000,0.2400,0.0000,7.0000,9.0000,9.0000,7.0000,1.0000,7.0000,8.0000,6.0000,7.0000,8.0000,7.0000,8.0000,9.0000,10.0000,10.0000,10.0000,6.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
NOVELLUS SYS INC,NVLS,2003-11-19 12:00:00.0,42.3800,1.2700,3.1000,41.1100,41.3900,4622196.5000,41.3100,42.7100,157.1500,6440483300.0000,7438704.5000,24.9300,45.5000,0.0000,0.1000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000,2.0000,2.0000,8.0000,8.0000,8.0000,4.0000,3.0000,7.0000,4.0000,4.0000,8.0000,4.0000,5.0000,4.0000,10.0000,10.0000,10.0000
COLUMBIA BANCORP,CBMD,2003-11-19 12:00:00.0,28.7000,0.4500,1.5900,28.2500,27.9000,3566.6700,27.9000,28.7000,17.3500,205205120.0000,9195.0000,20.9200,29.6700,0.5100,1.6500,1.7600,4.0000,1.0000,2.0000,10.0000,5.0000,9.0000,10.0000,3.0000,4.0000,3.0000,3.0000,3.0000,7.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,6.0000,7.0000,9.0000,10.0000,9.0000
UNITED NAT FOODS INC,UNFI,2003-11-19 12:00:00.0,39.9000,0.1600,0.4000,39.7400,39.7400,18666.0000,39.5600,40.0400,39.0000,779888450.0000,183454.5000,20.4000,41.4300,0.0000,1.0800,0.0000,2.0000,4.0000,5.0000,8.0000,2.0000,5.0000,6.0000,3.0000,2.0000,8.0000,5.0000,8.0000,4.0000,10.0000,10.0000,10.0000,7.0000,10.0000,10.0000,6.0000,5.0000,10.0000,10.0000,10.0000
TTM TECHNOLOGIES IN,TTMI,2003-11-19 12:00:00.0,15.2800,-0.0800,-0.5200,15.3600,15.2500,291204.6600,15.1000,15.5000,0.0000,615321730.0000,554863.0000,2.4000,18.3100,0.0000,-0.0200,0.0000,7.0000,8.0000,8.0000,3.0000,9.0000,6.0000,3.0000,10.0000,7.0000,8.0000,8.0000,8.0000,9.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000
