name,symbol,quotedate,currentPrice,changeValue,changePercent,previousClose,open,volume,dayMinPrice,dayMaxPrice,priceToEarnings,marketCap,averageVolume,yearMinPrice,yearMaxPrice,dividendValue,earningsPerShare,dividendYield,currentPriceRank,changeValueRank,changePercentRank,volumeRank,priceToEarningsRank,marketCapRank,averageVolumeRank,yearMinPriceRank,yearMaxPriceRank,dividendValueRank,earningsPerShareRank,dividendYieldRank,currentPriceValue,changeValueValue,changePercentValue,volumeValue,priceToEarningsValue,marketCapValue,averageVolumeValue,yearMinPriceValue,yearMaxPriceValue,dividendValueValue,earningsPerShareValue,dividendYieldValue
LTX CORP,LTXX,2003-11-19 12:00:00.0,15.3000,0.2300,1.5000,15.0700,15.0700,203427.6600,14.7600,15.5500,0.0000,797539260.0000,846840.5000,4.2900,17.2900,0.0000,-2.6300,0.0000,7.0000,3.0000,2.0000,3.0000,9.0000,5.0000,3.0000,9.0000,7.0000,8.0000,10.0000,8.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000
BRINKS CO,BCO,2003-11-19 12:00:00.0,20.7700,0.4200,2.0600,20.3500,20.2600,122100.0000,20.2600,20.7800,22.8200,1128945020.0000,243540.5000,12.3600,20.9700,0.1100,0.5400,0.4900,6.0000,2.0000,2.0000,4.0000,4.0000,4.0000,5.0000,6.0000,6.0000,5.0000,6.0000,5.0000,8.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
SWIFT TRANSN CO,SWFT,2003-11-19 12:00:00.0,21.3900,-0.1900,-0.8800,21.5800,21.5400,149046.3300,21.3200,21.5600,25.4600,1785126910.0000,472322.4700,14.8100,25.6400,0.0000,0.8400,0.0000,6.0000,9.0000,9.0000,4.0000,3.0000,3.0000,4.0000,5.0000,5.0000,8.0000,6.0000,8.0000,8.0000,10.0000,10.0000,10.0000,8.0000,9.0000,9.0000,8.0000,8.0000,10.0000,10.0000,10.0000
AVANT IMMUNOTHERAPEUTICS,AVAN,2003-11-19 12:00:00.0,2.4000,0.0500,2.0400,2.3500,2.3500,125153.6700,2.3500,2.4100,0.0000,155291472.0000,666545.0000,0.8800,3.4500,0.0000,-0.2000,0.0000,10.0000,6.0000,2.0000,4.0000,9.0000,10.0000,3.0000,10.0000,10.0000,8.0000,8.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000
ARROW FINL CORP,AROW,2003-11-19 12:00:00.0,27.2100,0.3800,1.4100,26.8300,26.7500,4690.0000,26.7500,27.2500,14.5200,269160224.0000,11000.0000,22.5100,28.7300,0.8800,1.8700,3.2600,4.0000,2.0000,2.0000,9.0000,6.0000,8.0000,10.0000,3.0000,5.0000,2.0000,3.0000,2.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,6.0000,7.0000,7.0000,9.0000,6.0000
FIRST HORIZON PHARMA,FHRX,2003-11-19 12:00:00.0,11.2600,0.0600,0.5400,11.2000,11.2900,203281.0000,11.0500,11.5400,0.0000,393618592.0000,343800.0000,1.9300,11.4600,0.0000,-0.1900,0.0000,8.0000,5.0000,5.0000,3.0000,9.0000,7.0000,5.0000,10.0000,9.0000,8.0000,8.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
INVERESK RESEARCH GROUP,IRGI,2003-11-19 12:00:00.0,21.0400,0.9300,4.6400,20.1100,20.0400,159993.0000,20.0400,21.5500,21.6900,770368380.0000,149954.0000,11.5000,25.8500,0.0000,0.9700,0.0000,6.0000,1.0000,1.0000,4.0000,4.0000,5.0000,7.0000,6.0000,5.0000,8.0000,5.0000,8.0000,8.0000,4.0000,3.0000,10.0000,9.0000,10.0000,10.0000,9.0000,8.0000,10.0000,10.0000,10.0000
CONCEPTUS INC,CPTS,2003-11-19 12:00:00.0,13.0400,-0.1000,-0.7600,13.1400,13.1100,64316.6700,12.9100,13.1800,0.0000,281588544.0000,294659.0000,6.5000,18.2500,0.0000,-1.9800,0.0000,8.0000,8.0000,9.0000,6.0000,9.0000,8.0000,5.0000,8.0000,7.0000,8.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000
SIGMA ALDRICH CORP,SIAL,2003-11-19 12:00:00.0,52.5200,0.5200,0.9900,52.0000,51.8800,144809.6700,51.8700,52.6800,18.4500,3692962560.0000,568890.5000,40.9400,57.9100,0.6400,2.8500,1.2300,1.0000,1.0000,3.0000,4.0000,5.0000,2.0000,3.0000,1.0000,1.0000,3.0000,1.0000,4.0000,3.0000,10.0000,10.0000,10.0000,9.0000,9.0000,9.0000,2.0000,3.0000,8.0000,6.0000,10.0000
VERITY INC,VRTY,2003-11-19 12:00:00.0,13.6500,-0.0100,-0.0800,13.6700,13.6900,182157.0000,13.4100,13.8000,41.6300,511891648.0000,915336.0000,11.0000,21.0500,0.0000,0.3300,0.0000,8.0000,7.0000,7.0000,3.0000,2.0000,6.0000,3.0000,6.0000,6.0000,8.0000,7.0000,8.0000,10.0000,10.0000,10.0000,10.0000,7.0000,10.0000,8.0000,9.0000,9.0000,10.0000,10.0000,10.0000
VERTEX PHARMACEUTICA,VRTX,2003-11-19 12:00:00.0,8.8900,0.0400,0.4500,8.8500,8.8700,302130.6600,8.8300,9.0100,0.0000,684408580.0000,869818.0000,7.8300,19.2900,0.0000,-2.4500,0.0000,9.0000,6.0000,5.0000,3.0000,9.0000,5.0000,3.0000,7.0000,7.0000,8.0000,10.0000,8.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000
SILICON STORAGE TECH,SSTI,2003-11-19 12:00:00.0,12.6500,0.1000,0.8000,12.5500,12.6000,553247.7000,12.5300,12.9400,0.0000,1200212350.0000,1960431.5000,2.2100,14.2500,0.0000,-0.8600,0.0000,8.0000,5.0000,4.0000,2.0000,9.0000,4.0000,1.0000,10.0000,8.0000,8.0000,9.0000,8.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000
COLUMBUS MCKINNON CORP,CMCO,2003-11-19 12:00:00.0,6.1700,0.0400,0.6500,6.1300,6.0100,15915.0000,6.0100,6.1700,0.0000,91909440.0000,46454.0000,1.3000,6.9300,0.0000,-0.5900,0.0000,10.0000,6.0000,4.0000,8.0000,9.0000,10.0000,9.0000,10.0000,10.0000,8.0000,9.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
LIFECORE BIOMEDICAL INC,LCBM,2003-11-19 12:00:00.0,6.5000,0.1800,2.8300,6.3200,6.4200,1200.0000,6.4200,6.5000,0.0000,83777376.0000,22400.0000,2.9000,9.2500,0.0000,-0.0200,0.0000,9.0000,3.0000,1.0000,10.0000,9.0000,10.0000,9.0000,9.0000,9.0000,8.0000,8.0000,8.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
VERITAS SOFTWARE CO,VRTS,2003-11-19 12:00:00.0,34.5000,-0.5600,-1.6000,35.0600,35.0500,3902251.5000,34.3100,35.0600,124.0100,15056345100.0000,6100431.5000,15.4500,39.4000,0.0000,0.2800,0.0000,3.0000,10.0000,10.0000,1.0000,1.0000,1.0000,1.0000,5.0000,3.0000,8.0000,7.0000,8.0000,5.0000,10.0000,10.0000,5.0000,5.0000,7.0000,4.0000,8.0000,5.0000,10.0000,10.0000,10.0000
NOLAND CO,NOLD,2003-11-19 12:00:00.0,36.5900,0.0000,0.0000,36.5900,0.0000,0.0000,0.0000,36.5900,9.9200,123419360.0000,909.0000,27.8000,49.6900,0.3200,3.6900,0.8700,3.0000,7.0000,7.0000,10.0000,8.0000,10.0000,10.0000,2.0000,2.0000,4.0000,1.0000,4.0000,5.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,4.0000,3.0000,10.0000,4.0000,10.0000
MICROMUSE INC,MUSE,2003-11-19 12:00:00.0,7.3000,0.1500,2.1700,7.1500,7.7500,1794531.0000,7.0700,7.8500,0.0000,570496770.0000,1481431.5000,2.9400,10.4000,0.0000,-0.0500,0.0000,9.0000,4.0000,1.0000,1.0000,9.0000,6.0000,2.0000,9.0000,9.0000,8.0000,8.0000,8.0000,10.0000,10.0000,10.0000,6.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000
WHITMAN ED GROUP INC,WIX,2003-11-19 12:00:00.0,15.6100,0.2600,1.6900,0.0000,15.2500,84500.0000,15.2000,15.7500,31.8600,241100000.0000,161900.0000,4.2800,15.7500,0.0000,0.4900,0.0000,7.0000,3.0000,2.0000,5.0000,2.0000,8.0000,6.0000,9.0000,8.0000,8.0000,7.0000,8.0000,9.0000,10.0000,10.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
HERITAGE FINANCIAL CORP,HFWA,2003-11-19 12:00:00.0,22.0100,0.0400,0.1800,21.9700,21.9700,3100.0000,21.9700,22.0100,16.5800,140762736.0000,6290.5000,16.7500,24.4700,0.5900,1.3300,2.6400,5.0000,6.0000,6.0000,10.0000,6.0000,10.0000,10.0000,4.0000,6.0000,3.0000,4.0000,2.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,8.0000,8.0000,9.0000,10.0000,7.0000
ACCLAIM ENTMT INC,AKLM,2003-11-19 12:00:00.0,0.6200,-0.0200,-3.1300,0.6400,0.6300,465551.7000,0.6100,0.6400,0.0000,70110696.0000,5120454.0000,0.3700,1.3100,0.0000,-0.6400,0.0000,10.0000,7.0000,10.0000,2.0000,9.0000,10.0000,1.0000,10.0000,10.0000,8.0000,9.0000,8.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,5.0000,10.0000,10.0000,10.0000,10.0000,10.0000
JAKKS PAC INC,JAKK,2003-11-19 12:00:00.0,13.0000,-0.0800,-0.6100,13.0800,13.0700,80134.0000,12.8200,13.1500,12.3700,319658976.0000,235563.5000,9.5000,16.6300,0.0000,1.0500,0.0000,8.0000,8.0000,8.0000,5.0000,7.0000,8.0000,5.0000,7.0000,8.0000,8.0000,5.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
MERCANTILE BANKSHARE,MRBK,2003-11-19 12:00:00.0,44.0500,0.1700,0.3900,43.8800,43.9900,53474.0000,43.8100,44.0900,15.9800,3512201730.0000,237922.5000,30.1600,44.2300,1.3200,2.7600,3.0100,2.0000,4.0000,5.0000,6.0000,6.0000,2.0000,5.0000,2.0000,2.0000,1.0000,1.0000,2.0000,4.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,4.0000,4.0000,4.0000,6.0000,6.0000
F A O INC,FAOO,2003-11-19 12:00:00.0,0.7600,0.0500,7.0400,0.7100,0.7000,189206.0000,0.7000,0.8100,0.0000,3918760.0000,199454.0000,0.6600,46.9500,0.0000,-38.9500,0.0000,10.0000,6.0000,1.0000,3.0000,9.0000,10.0000,6.0000,10.0000,2.0000,8.0000,10.0000,8.0000,10.0000,10.0000,2.0000,10.0000,10.0000,10.0000,10.0000,10.0000,4.0000,10.0000,10.0000,10.0000
REPUBLIC BANCORP KY,RBCAA,2003-11-19 12:00:00.0,18.9000,-0.3300,-1.7200,19.2300,19.2700,16656.0000,18.2200,19.4200,11.8100,283667712.0000,13640.5000,10.7500,20.9700,0.2700,1.6000,1.3900,6.0000,10.0000,10.0000,8.0000,7.0000,8.0000,10.0000,6.0000,6.0000,4.0000,3.0000,4.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,9.0000
INVESTORS REAL ESTAT,IRETS,2003-11-19 12:00:00.0,10.2400,0.1100,1.0500,10.1400,10.2900,16318.3300,10.1600,10.2900,28.8600,380275616.0000,45809.0000,8.9800,11.0000,0.6400,0.3600,6.2300,9.0000,5.0000,3.0000,8.0000,3.0000,7.0000,9.0000,7.0000,9.0000,3.0000,7.0000,1.0000,10.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,8.0000,10.0000,3.0000
INTERVOICE INC,INTV,2003-11-19 12:00:00.0,9.7900,-0.0300,-0.3100,9.8000,9.9100,111637.0000,9.5100,9.9100,0.0000,336051584.0000,231181.0000,1.4100,11.1200,0.0000,-0.6200,0.0000,9.0000,7.0000,8.0000,5.0000,9.0000,7.0000,6.0000,10.0000,9.0000,8.0000,9.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
INTUIT,INTU,2003-11-19 12:00:00.0,45.9700,-0.2000,-0.4300,46.1700,46.4700,1203395.2000,45.6800,46.4700,37.1100,9240728600.0000,2248295.0000,33.3000,55.0200,0.0000,1.2400,0.0000,2.0000,9.0000,8.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,8.0000,4.0000,8.0000,3.0000,10.0000,10.0000,7.0000,7.0000,7.0000,7.0000,3.0000,3.0000,10.0000,10.0000,10.0000
P A M TRANSN SVCS INC,PTSI,2003-11-19 12:00:00.0,19.1900,-0.2700,-1.3900,19.4600,18.8600,14869.0000,18.7000,19.3500,15.7300,216724208.0000,35318.0000,18.1700,28.1700,0.0000,1.2200,0.0000,6.0000,9.0000,9.0000,8.0000,6.0000,9.0000,9.0000,4.0000,5.0000,8.0000,4.0000,8.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,7.0000,7.0000,10.0000,10.0000,10.0000
CAPSTONE TURBINE COR,CPST,2003-11-19 12:00:00.0,1.8200,-0.0600,-3.1900,1.8800,1.8500,230506.9800,1.8000,1.9000,0.0000,148659248.0000,1010000.0000,0.7100,2.5700,0.0000,-0.5800,0.0000,10.0000,8.0000,10.0000,3.0000,9.0000,10.0000,2.0000,10.0000,10.0000,8.0000,9.0000,8.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000
COMMUNITY BK NORTHN VA,CBNV,2003-11-19 12:00:00.0,17.0000,-0.0500,-0.2900,17.0500,17.0500,600.0000,17.0000,17.0500,20.9900,171732000.0000,3100.0000,10.4200,19.3100,0.3200,0.8400,1.8800,7.0000,8.0000,8.0000,10.0000,4.0000,9.0000,10.0000,6.0000,7.0000,4.0000,6.0000,3.0000,9.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,9.0000
INTER TEL INC,INTL,2003-11-19 12:00:00.0,23.4100,-0.2500,-1.0400,23.6600,23.4500,111701.3300,23.3000,23.9000,22.1700,585193220.0000,256977.0000,12.8500,29.5600,0.2400,1.0600,1.0200,5.0000,9.0000,9.0000,5.0000,4.0000,6.0000,5.0000,6.0000,4.0000,4.0000,5.0000,4.0000,8.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,9.0000,7.0000,10.0000,10.0000,10.0000
CHOLESTECH CORP,CTEC,2003-11-19 12:00:00.0,7.4600,0.2400,3.3200,7.2200,7.6900,2931.0000,7.2000,7.6900,11.3200,103621336.0000,48490.5000,5.0900,12.8900,0.0000,0.5700,0.0000,9.0000,3.0000,1.0000,10.0000,7.0000,10.0000,9.0000,8.0000,9.0000,8.0000,6.0000,8.0000,10.0000,10.0000,6.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
INET TECHNOLOGIES IN,INTI,2003-11-19 12:00:00.0,11.7500,0.0000,0.0000,11.7500,11.7100,52360.3400,11.7100,12.0000,43.6300,455008704.0000,213409.0000,4.1500,16.0000,0.0000,0.2700,0.0000,8.0000,7.0000,7.0000,6.0000,2.0000,7.0000,6.0000,9.0000,8.0000,8.0000,7.0000,8.0000,10.0000,10.0000,10.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
